# schedule_id	doctor_id	work_date	time_slot	max_appt	max_onsite	status
SCH2026050706111100	A0006	2026-05-07	上午(08:00-12:00	20	10	正常
SCH2026050614000005	N0002	2026-05-06	下午(14:00-18:0	21	6	正常
SCH2026050708000005	N0002	2026-05-07	上午(08:00-12:0	14	8	正常
SCH2026050714000005	N0002	2026-05-07	下午(14:00-18:0	12	8	正常
SCH2026050808000005	N0002	2026-05-08	上午(08:00-12:0	23	10	停诊
SCH2026050814000005	N0002	2026-05-08	下午(14:00-18:0	13	5	正常
SCH2026050908000005	N0002	2026-05-09	上午(08:00-12:0	18	5	正常
SCH2026050914000005	N0002	2026-05-09	下午(14:00-18:0	12	6	正常
SCH2026051008000005	N0002	2026-05-10	上午(08:00-12:0	18	9	正常
SCH2026051014000005	N0002	2026-05-10	下午(14:00-18:0	12	6	正常
SCH2026051108000005	N0002	2026-05-11	上午(08:00-12:0	17	10	正常
SCH2026051114000005	N0002	2026-05-11	下午(14:00-18:0	23	5	正常
SCH2026050508000005	O0001	2026-05-05	上午(08:00-12:0	10	5	正常
SCH2026050514000005	O0001	2026-05-05	下午(14:00-18:0	11	8	正常
SCH2026050608000005	O0001	2026-05-06	上午(08:00-12:0	19	10	正常
SCH2026050614000005	O0001	2026-05-06	下午(14:00-18:0	14	9	正常
SCH2026050708000005	O0001	2026-05-07	上午(08:00-12:0	11	9	正常
SCH2026050714000005	O0001	2026-05-07	下午(14:00-18:0	20	10	正常
SCH2026050808000005	O0001	2026-05-08	上午(08:00-12:0	17	6	停诊
SCH2026050814000005	O0001	2026-05-08	下午(14:00-18:0	10	7	正常
SCH2026050908000005	O0001	2026-05-09	上午(08:00-12:0	25	9	正常
SCH2026050914000005	O0001	2026-05-09	下午(14:00-18:0	24	7	正常
SCH2026051008000005	O0001	2026-05-10	上午(08:00-12:0	13	9	正常
SCH2026051014000005	O0001	2026-05-10	下午(14:00-18:0	12	8	正常
SCH2026051108000005	O0001	2026-05-11	上午(08:00-12:0	23	7	正常
SCH2026051114000005	O0001	2026-05-11	下午(14:00-18:0	12	9	正常
SCH2026050508000005	O0002	2026-05-05	上午(08:00-12:0	16	6	正常
SCH2026050514000005	O0002	2026-05-05	下午(14:00-18:0	10	9	正常
SCH2026050608000005	O0002	2026-05-06	上午(08:00-12:0	13	5	正常
SCH2026050614000005	O0002	2026-05-06	下午(14:00-18:0	15	8	正常
SCH2026050708000005	O0002	2026-05-07	上午(08:00-12:0	17	9	正常
SCH2026050714000005	O0002	2026-05-07	下午(14:00-18:0	23	10	正常
SCH2026050808000005	O0002	2026-05-08	上午(08:00-12:0	10	6	正常
SCH2026050814000005	O0002	2026-05-08	下午(14:00-18:0	25	7	正常
SCH2026050908000005	O0002	2026-05-09	上午(08:00-12:0	21	9	正常
SCH2026050914000005	O0002	2026-05-09	下午(14:00-18:0	18	7	正常
SCH2026051008000005	O0002	2026-05-10	上午(08:00-12:0	21	6	正常
SCH2026051014000005	O0002	2026-05-10	下午(14:00-18:0	15	7	正常
SCH2026051108000005	O0002	2026-05-11	上午(08:00-12:0	17	9	正常
SCH2026051114000005	O0002	2026-05-11	下午(14:00-18:0	13	5	正常
SCH2026050508000005	O0003	2026-05-05	上午(08:00-12:0	24	5	正常
SCH2026050514000005	O0003	2026-05-05	下午(14:00-18:0	14	8	正常
SCH2026050608000005	O0003	2026-05-06	上午(08:00-12:0	25	5	正常
SCH2026050614000005	O0003	2026-05-06	下午(14:00-18:0	19	5	正常
SCH2026050708000005	O0003	2026-05-07	上午(08:00-12:0	15	7	正常
SCH2026050714000005	O0003	2026-05-07	下午(14:00-18:0	13	6	正常
SCH2026050808000005	O0003	2026-05-08	上午(08:00-12:0	17	10	正常
SCH2026050814000005	O0003	2026-05-08	下午(14:00-18:0	23	5	停诊
SCH2026050908000005	O0003	2026-05-09	上午(08:00-12:0	20	5	正常
SCH2026050914000005	O0003	2026-05-09	下午(14:00-18:0	15	6	正常
SCH2026051008000005	O0003	2026-05-10	上午(08:00-12:0	21	7	正常
SCH2026051014000005	O0003	2026-05-10	下午(14:00-18:0	18	8	正常
SCH2026051108000005	O0003	2026-05-11	上午(08:00-12:0	13	10	正常
SCH2026051114000005	O0003	2026-05-11	下午(14:00-18:0	18	6	正常
SCH2026050508000005	P0001	2026-05-05	上午(08:00-12:0	11	7	正常
SCH2026050514000005	P0001	2026-05-05	下午(14:00-18:0	14	9	正常
SCH2026050608000005	P0001	2026-05-06	上午(08:00-12:0	19	5	正常
SCH2026050614000005	P0001	2026-05-06	下午(14:00-18:0	20	5	正常
SCH2026050708000005	P0001	2026-05-07	上午(08:00-12:0	24	6	正常
SCH2026050714000005	P0001	2026-05-07	下午(14:00-18:0	21	8	正常
SCH2026050808000005	P0001	2026-05-08	上午(08:00-12:0	17	7	正常
SCH2026050814000005	P0001	2026-05-08	下午(14:00-18:0	25	9	正常
SCH2026050908000005	P0001	2026-05-09	上午(08:00-12:0	13	8	正常
SCH2026050914000005	P0001	2026-05-09	下午(14:00-18:0	20	7	正常
SCH2026051008000005	P0001	2026-05-10	上午(08:00-12:0	25	6	停诊
SCH2026051014000005	P0001	2026-05-10	下午(14:00-18:0	24	7	正常
SCH2026051108000005	P0001	2026-05-11	上午(08:00-12:0	11	9	正常
SCH2026051114000005	P0001	2026-05-11	下午(14:00-18:0	10	7	正常
SCH2026050508000006	P0002	2026-05-05	上午(08:00-12:0	22	10	正常
SCH2026050514000006	P0002	2026-05-05	下午(14:00-18:0	20	5	正常
SCH2026050608000006	P0002	2026-05-06	上午(08:00-12:0	20	10	正常
SCH2026050614000006	P0002	2026-05-06	下午(14:00-18:0	17	6	正常
SCH2026050708000006	P0002	2026-05-07	上午(08:00-12:0	17	10	正常
SCH2026050714000006	P0002	2026-05-07	下午(14:00-18:0	24	10	正常
SCH2026050808000006	P0002	2026-05-08	上午(08:00-12:0	21	8	正常
SCH2026050814000006	P0002	2026-05-08	下午(14:00-18:0	21	10	正常
SCH2026050908000006	P0002	2026-05-09	上午(08:00-12:0	15	8	正常
SCH2026050914000006	P0002	2026-05-09	下午(14:00-18:0	16	9	停诊
SCH2026051008000006	P0002	2026-05-10	上午(08:00-12:0	12	6	正常
SCH2026051014000006	P0002	2026-05-10	下午(14:00-18:0	21	5	正常
SCH2026051108000006	P0002	2026-05-11	上午(08:00-12:0	18	5	正常
SCH2026051114000006	P0002	2026-05-11	下午(14:00-18:0	17	8	正常
SCH2026050508000006	Q0001	2026-05-05	上午(08:00-12:0	13	8	正常
SCH2026050514000006	Q0001	2026-05-05	下午(14:00-18:0	16	10	正常
SCH2026050608000006	Q0001	2026-05-06	上午(08:00-12:0	14	8	正常
SCH2026050614000006	Q0001	2026-05-06	下午(14:00-18:0	18	6	正常
SCH2026050708000006	Q0001	2026-05-07	上午(08:00-12:0	16	5	正常
SCH2026050714000006	Q0001	2026-05-07	下午(14:00-18:0	15	5	正常
SCH2026050808000006	Q0001	2026-05-08	上午(08:00-12:0	23	5	正常
SCH2026050814000006	Q0001	2026-05-08	下午(14:00-18:0	15	9	正常
SCH2026050908000006	Q0001	2026-05-09	上午(08:00-12:0	20	8	正常
SCH2026050914000006	Q0001	2026-05-09	下午(14:00-18:0	17	9	正常
SCH2026051008000006	Q0001	2026-05-10	上午(08:00-12:0	25	8	正常
SCH2026051014000006	Q0001	2026-05-10	下午(14:00-18:0	24	8	正常
SCH2026051108000006	Q0001	2026-05-11	上午(08:00-12:0	18	5	正常
SCH2026051114000006	Q0001	2026-05-11	下午(14:00-18:0	24	8	正常
SCH2026050508000006	Q0002	2026-05-05	上午(08:00-12:0	10	10	正常
SCH2026050514000006	Q0002	2026-05-05	下午(14:00-18:0	21	10	正常
SCH2026050608000006	Q0002	2026-05-06	上午(08:00-12:0	22	8	正常
SCH2026050614000006	Q0002	2026-05-06	下午(14:00-18:0	24	6	正常
SCH2026050708000006	Q0002	2026-05-07	上午(08:00-12:0	11	7	正常
SCH2026050714000006	Q0002	2026-05-07	下午(14:00-18:0	11	5	正常
SCH2026050808000006	Q0002	2026-05-08	上午(08:00-12:0	11	6	正常
SCH2026050814000006	Q0002	2026-05-08	下午(14:00-18:0	22	9	正常
SCH2026050908000006	Q0002	2026-05-09	上午(08:00-12:0	25	8	正常
SCH2026050914000006	Q0002	2026-05-09	下午(14:00-18:0	14	7	正常
SCH2026051008000006	Q0002	2026-05-10	上午(08:00-12:0	13	8	正常
SCH2026051014000006	Q0002	2026-05-10	下午(14:00-18:0	21	9	正常
SCH2026051108000006	Q0002	2026-05-11	上午(08:00-12:0	24	8	正常
SCH2026051114000006	Q0002	2026-05-11	下午(14:00-18:0	12	10	正常
SCH2026050508000006	Q0003	2026-05-05	上午(08:00-12:0	14	5	正常
SCH2026050514000006	Q0003	2026-05-05	下午(14:00-18:0	25	10	停诊
SCH2026050608000006	Q0003	2026-05-06	上午(08:00-12:0	17	6	正常
SCH2026050614000006	Q0003	2026-05-06	下午(14:00-18:0	24	5	正常
SCH2026050708000006	Q0003	2026-05-07	上午(08:00-12:0	15	6	正常
SCH2026050714000006	Q0003	2026-05-07	下午(14:00-18:0	23	6	正常
SCH2026050808000006	Q0003	2026-05-08	上午(08:00-12:0	20	8	正常
SCH2026050814000006	Q0003	2026-05-08	下午(14:00-18:0	19	5	正常
SCH2026050908000006	Q0003	2026-05-09	上午(08:00-12:0	24	8	正常
SCH2026050914000006	Q0003	2026-05-09	下午(14:00-18:0	20	7	正常
SCH2026051008000006	Q0003	2026-05-10	上午(08:00-12:0	17	5	正常
SCH2026051014000006	Q0003	2026-05-10	下午(14:00-18:0	23	8	正常
SCH2026051108000006	Q0003	2026-05-11	上午(08:00-12:0	13	8	停诊
SCH2026051114000006	Q0003	2026-05-11	下午(14:00-18:0	25	9	正常
SCH2026050508000006	Q0004	2026-05-05	上午(08:00-12:0	10	10	正常
SCH2026050514000006	Q0004	2026-05-05	下午(14:00-18:0	14	6	正常
SCH2026050608000006	Q0004	2026-05-06	上午(08:00-12:0	11	7	正常
SCH2026050614000006	Q0004	2026-05-06	下午(14:00-18:0	14	8	正常
SCH2026050708000006	Q0004	2026-05-07	上午(08:00-12:0	11	9	停诊
SCH2026050714000006	Q0004	2026-05-07	下午(14:00-18:0	19	9	正常
SCH2026050808000006	Q0004	2026-05-08	上午(08:00-12:0	10	6	正常
SCH2026050814000006	Q0004	2026-05-08	下午(14:00-18:0	12	8	正常
SCH2026050908000006	Q0004	2026-05-09	上午(08:00-12:0	21	5	正常
SCH2026050914000006	Q0004	2026-05-09	下午(14:00-18:0	14	9	正常
SCH2026051008000006	Q0004	2026-05-10	上午(08:00-12:0	24	9	正常
SCH2026051014000006	Q0004	2026-05-10	下午(14:00-18:0	21	9	正常
SCH2026051108000006	Q0004	2026-05-11	上午(08:00-12:0	15	10	正常
SCH2026051114000006	Q0004	2026-05-11	下午(14:00-18:0	17	6	正常
SCH2026050508000006	Q0005	2026-05-05	上午(08:00-12:0	10	8	正常
SCH2026050514000006	Q0005	2026-05-05	下午(14:00-18:0	12	7	停诊
SCH2026050608000006	Q0005	2026-05-06	上午(08:00-12:0	12	10	正常
SCH2026050614000006	Q0005	2026-05-06	下午(14:00-18:0	17	9	正常
SCH2026050708000006	Q0005	2026-05-07	上午(08:00-12:0	16	7	正常
SCH2026050714000006	Q0005	2026-05-07	下午(14:00-18:0	12	7	正常
SCH2026050808000006	Q0005	2026-05-08	上午(08:00-12:0	24	6	正常
SCH2026050814000006	Q0005	2026-05-08	下午(14:00-18:0	12	8	正常
SCH2026050908000006	Q0005	2026-05-09	上午(08:00-12:0	17	10	正常
SCH2026050914000006	Q0005	2026-05-09	下午(14:00-18:0	11	7	正常
SCH2026051008000006	Q0005	2026-05-10	上午(08:00-12:0	12	7	正常
SCH2026051014000006	Q0005	2026-05-10	下午(14:00-18:0	18	10	正常
SCH2026051108000006	Q0005	2026-05-11	上午(08:00-12:0	17	5	正常
SCH2026051114000006	Q0005	2026-05-11	下午(14:00-18:0	19	6	正常
SCH2026050508000006	R0001	2026-05-05	上午(08:00-12:0	10	5	正常
SCH2026050514000006	R0001	2026-05-05	下午(14:00-18:0	12	9	正常
SCH2026050608000006	R0001	2026-05-06	上午(08:00-12:0	16	8	正常
SCH2026050614000006	R0001	2026-05-06	下午(14:00-18:0	23	10	正常
SCH2026050708000006	R0001	2026-05-07	上午(08:00-12:0	20	9	正常
SCH2026050714000006	R0001	2026-05-07	下午(14:00-18:0	19	7	正常
SCH2026050808000006	R0001	2026-05-08	上午(08:00-12:0	15	6	正常
SCH2026050814000006	R0001	2026-05-08	下午(14:00-18:0	14	9	正常
SCH2026050908000006	R0001	2026-05-09	上午(08:00-12:0	13	5	正常
SCH2026050914000006	R0001	2026-05-09	下午(14:00-18:0	11	10	正常
SCH2026051008000006	R0001	2026-05-10	上午(08:00-12:0	15	5	停诊
SCH2026051014000006	R0001	2026-05-10	下午(14:00-18:0	20	5	正常
SCH2026051108000006	R0001	2026-05-11	上午(08:00-12:0	13	9	正常
SCH2026051114000006	R0001	2026-05-11	下午(14:00-18:0	18	5	停诊
SCH2026050508000006	R0002	2026-05-05	上午(08:00-12:0	25	10	正常
SCH2026050514000006	R0002	2026-05-05	下午(14:00-18:0	11	5	正常
SCH2026050608000006	R0002	2026-05-06	上午(08:00-12:0	13	8	正常
SCH2026050614000006	R0002	2026-05-06	下午(14:00-18:0	20	10	正常
SCH2026050708000006	R0002	2026-05-07	上午(08:00-12:0	10	8	正常
SCH2026050714000006	R0002	2026-05-07	下午(14:00-18:0	16	9	正常
SCH2026050808000006	R0002	2026-05-08	上午(08:00-12:0	11	5	正常
SCH2026050814000006	R0002	2026-05-08	下午(14:00-18:0	23	7	正常
SCH2026050908000006	R0002	2026-05-09	上午(08:00-12:0	13	6	正常
SCH2026050914000006	R0002	2026-05-09	下午(14:00-18:0	22	9	正常
SCH2026051008000006	R0002	2026-05-10	上午(08:00-12:0	25	9	正常
SCH2026051014000006	R0002	2026-05-10	下午(14:00-18:0	23	8	正常
SCH2026051108000006	R0002	2026-05-11	上午(08:00-12:0	11	8	正常
SCH2026051114000006	R0002	2026-05-11	下午(14:00-18:0	13	8	正常
SCH2026050508000006	R0003	2026-05-05	上午(08:00-12:0	16	8	正常
SCH2026050514000006	R0003	2026-05-05	下午(14:00-18:0	19	9	正常
SCH2026050608000006	R0003	2026-05-06	上午(08:00-12:0	16	9	正常
SCH2026050614000006	R0003	2026-05-06	下午(14:00-18:0	22	5	正常
SCH2026050708000006	R0003	2026-05-07	上午(08:00-12:0	16	8	正常
SCH2026050714000006	R0003	2026-05-07	下午(14:00-18:0	17	8	停诊
SCH2026050808000006	R0003	2026-05-08	上午(08:00-12:0	23	7	正常
SCH2026050814000006	R0003	2026-05-08	下午(14:00-18:0	16	9	正常
SCH2026050908000006	R0003	2026-05-09	上午(08:00-12:0	12	5	正常
SCH2026050914000006	R0003	2026-05-09	下午(14:00-18:0	22	9	正常
SCH2026051008000006	R0003	2026-05-10	上午(08:00-12:0	19	7	正常
SCH2026051014000006	R0003	2026-05-10	下午(14:00-18:0	17	8	正常
SCH2026051108000006	R0003	2026-05-11	上午(08:00-12:0	12	7	正常
SCH2026051114000006	R0003	2026-05-11	下午(14:00-18:0	20	5	正常
SCH2026050508000006	R0004	2026-05-05	上午(08:00-12:0	24	8	正常
SCH2026050514000006	R0004	2026-05-05	下午(14:00-18:0	12	8	正常
SCH2026050608000006	R0004	2026-05-06	上午(08:00-12:0	11	6	正常
SCH2026050614000006	R0004	2026-05-06	下午(14:00-18:0	10	5	正常
SCH2026050708000006	R0004	2026-05-07	上午(08:00-12:0	15	5	正常
SCH2026050714000006	R0004	2026-05-07	下午(14:00-18:0	21	8	正常
SCH2026050808000006	R0004	2026-05-08	上午(08:00-12:0	17	7	正常
SCH2026050814000006	R0004	2026-05-08	下午(14:00-18:0	20	7	正常
SCH2026050908000006	R0004	2026-05-09	上午(08:00-12:0	21	6	停诊
SCH2026050914000006	R0004	2026-05-09	下午(14:00-18:0	19	8	正常
SCH2026051008000006	R0004	2026-05-10	上午(08:00-12:0	16	8	正常
SCH2026051014000006	R0004	2026-05-10	下午(14:00-18:0	20	9	正常
SCH2026051108000006	R0004	2026-05-11	上午(08:00-12:0	22	10	正常
SCH2026051114000006	R0004	2026-05-11	下午(14:00-18:0	17	7	正常
SCH2026050508000007	R0005	2026-05-05	上午(08:00-12:0	23	9	正常
SCH2026050514000007	R0005	2026-05-05	下午(14:00-18:0	11	6	正常
SCH2026050608000007	R0005	2026-05-06	上午(08:00-12:0	17	10	正常
SCH2026050614000007	R0005	2026-05-06	下午(14:00-18:0	20	7	正常
SCH2026050708000007	R0005	2026-05-07	上午(08:00-12:0	17	6	正常
SCH2026050714000007	R0005	2026-05-07	下午(14:00-18:0	21	8	正常
SCH2026050808000007	R0005	2026-05-08	上午(08:00-12:0	12	10	正常
SCH2026050814000007	R0005	2026-05-08	下午(14:00-18:0	11	5	正常
SCH2026050908000007	R0005	2026-05-09	上午(08:00-12:0	10	10	正常
SCH2026050914000007	R0005	2026-05-09	下午(14:00-18:0	12	5	正常
SCH2026051008000007	R0005	2026-05-10	上午(08:00-12:0	14	8	正常
SCH2026051014000007	R0005	2026-05-10	下午(14:00-18:0	17	10	正常
SCH2026051108000007	R0005	2026-05-11	上午(08:00-12:0	23	10	停诊
SCH2026051114000007	R0005	2026-05-11	下午(14:00-18:0	23	8	正常
SCH2026050508000007	S0001	2026-05-05	上午(08:00-12:0	22	8	停诊
SCH2026050514000007	S0001	2026-05-05	下午(14:00-18:0	20	7	正常
SCH2026050608000007	S0001	2026-05-06	上午(08:00-12:0	20	5	正常
SCH2026050614000007	S0001	2026-05-06	下午(14:00-18:0	25	9	正常
SCH2026050708000007	S0001	2026-05-07	上午(08:00-12:0	16	6	正常
SCH2026050714000007	S0001	2026-05-07	下午(14:00-18:0	25	6	正常
SCH2026050808000007	S0001	2026-05-08	上午(08:00-12:0	19	5	正常
SCH2026050814000007	S0001	2026-05-08	下午(14:00-18:0	14	9	正常
SCH2026050908000007	S0001	2026-05-09	上午(08:00-12:0	12	6	正常
SCH2026050914000007	S0001	2026-05-09	下午(14:00-18:0	15	8	正常
SCH2026051008000007	S0001	2026-05-10	上午(08:00-12:0	15	10	正常
SCH2026051014000007	S0001	2026-05-10	下午(14:00-18:0	25	10	正常
SCH2026051108000007	S0001	2026-05-11	上午(08:00-12:0	10	9	正常
SCH2026051114000007	S0001	2026-05-11	下午(14:00-18:0	20	9	正常
SCH2026050508000007	S0002	2026-05-05	上午(08:00-12:0	22	7	停诊
SCH2026050514000007	S0002	2026-05-05	下午(14:00-18:0	23	9	正常
SCH2026050608000007	S0002	2026-05-06	上午(08:00-12:0	17	6	正常
SCH2026050614000007	S0002	2026-05-06	下午(14:00-18:0	16	7	正常
SCH2026050708000007	S0002	2026-05-07	上午(08:00-12:0	11	6	正常
SCH2026050714000007	S0002	2026-05-07	下午(14:00-18:0	20	8	正常
SCH2026050808000007	S0002	2026-05-08	上午(08:00-12:0	16	7	正常
SCH2026050814000007	S0002	2026-05-08	下午(14:00-18:0	15	5	正常
SCH2026050908000007	S0002	2026-05-09	上午(08:00-12:0	14	9	正常
SCH2026050914000007	S0002	2026-05-09	下午(14:00-18:0	11	5	正常
SCH2026051008000007	S0002	2026-05-10	上午(08:00-12:0	25	8	正常
SCH2026051014000007	S0002	2026-05-10	下午(14:00-18:0	24	9	正常
SCH2026051108000007	S0002	2026-05-11	上午(08:00-12:0	19	10	正常
SCH2026051114000007	S0002	2026-05-11	下午(14:00-18:0	18	9	正常
SCH2026050508000007	S0003	2026-05-05	上午(08:00-12:0	16	8	正常
SCH2026050514000007	S0003	2026-05-05	下午(14:00-18:0	24	5	正常
SCH2026050608000007	S0003	2026-05-06	上午(08:00-12:0	12	7	正常
SCH2026050614000007	S0003	2026-05-06	下午(14:00-18:0	20	8	停诊
SCH2026050708000007	S0003	2026-05-07	上午(08:00-12:0	25	5	正常
SCH2026050714000007	S0003	2026-05-07	下午(14:00-18:0	24	8	停诊
SCH2026050808000007	S0003	2026-05-08	上午(08:00-12:0	11	8	正常
SCH2026050814000007	S0003	2026-05-08	下午(14:00-18:0	24	10	正常
SCH2026050908000007	S0003	2026-05-09	上午(08:00-12:0	16	9	正常
SCH2026050914000007	S0003	2026-05-09	下午(14:00-18:0	22	6	正常
SCH2026051008000007	S0003	2026-05-10	上午(08:00-12:0	13	10	正常
SCH2026051014000007	S0003	2026-05-10	下午(14:00-18:0	23	9	正常
SCH2026051108000007	S0003	2026-05-11	上午(08:00-12:0	25	10	正常
SCH2026051114000007	S0003	2026-05-11	下午(14:00-18:0	11	10	正常
SCH2026050508000007	S0004	2026-05-05	上午(08:00-12:0	20	6	正常
SCH2026050514000007	S0004	2026-05-05	下午(14:00-18:0	15	8	正常
SCH2026050608000007	S0004	2026-05-06	上午(08:00-12:0	13	9	正常
SCH2026050614000007	S0004	2026-05-06	下午(14:00-18:0	14	6	正常
SCH2026050708000007	S0004	2026-05-07	上午(08:00-12:0	15	7	正常
SCH2026050714000007	S0004	2026-05-07	下午(14:00-18:0	21	7	正常
SCH2026050808000007	S0004	2026-05-08	上午(08:00-12:0	14	6	正常
SCH2026050814000007	S0004	2026-05-08	下午(14:00-18:0	15	5	正常
SCH2026050908000007	S0004	2026-05-09	上午(08:00-12:0	25	8	正常
SCH2026050914000007	S0004	2026-05-09	下午(14:00-18:0	11	6	正常
SCH2026051008000007	S0004	2026-05-10	上午(08:00-12:0	10	10	正常
SCH2026051014000007	S0004	2026-05-10	下午(14:00-18:0	15	7	正常
SCH2026051108000007	S0004	2026-05-11	上午(08:00-12:0	17	5	正常
SCH2026051114000007	S0004	2026-05-11	下午(14:00-18:0	16	9	正常
SCH2026050508000007	S0005	2026-05-05	上午(08:00-12:0	18	9	停诊
SCH2026050514000007	S0005	2026-05-05	下午(14:00-18:0	24	10	正常
SCH2026050608000007	S0005	2026-05-06	上午(08:00-12:0	25	10	正常
SCH2026050614000007	S0005	2026-05-06	下午(14:00-18:0	13	6	正常
SCH2026050708000007	S0005	2026-05-07	上午(08:00-12:0	14	9	正常
SCH2026050714000007	S0005	2026-05-07	下午(14:00-18:0	22	8	正常
SCH2026050808000007	S0005	2026-05-08	上午(08:00-12:0	13	5	正常
SCH2026050814000007	S0005	2026-05-08	下午(14:00-18:0	12	7	正常
SCH2026050908000007	S0005	2026-05-09	上午(08:00-12:0	19	5	正常
SCH2026050914000007	S0005	2026-05-09	下午(14:00-18:0	25	6	正常
SCH2026051008000007	S0005	2026-05-10	上午(08:00-12:0	19	9	正常
SCH2026051014000007	S0005	2026-05-10	下午(14:00-18:0	23	9	正常
SCH2026051108000007	S0005	2026-05-11	上午(08:00-12:0	10	10	停诊
SCH2026051114000007	S0005	2026-05-11	下午(14:00-18:0	19	9	正常
SCH2026050508000007	T0001	2026-05-05	上午(08:00-12:0	23	6	正常
SCH2026050514000007	T0001	2026-05-05	下午(14:00-18:0	25	9	停诊
SCH2026050608000007	T0001	2026-05-06	上午(08:00-12:0	12	9	正常
SCH2026050614000007	T0001	2026-05-06	下午(14:00-18:0	16	8	正常
SCH2026050708000007	T0001	2026-05-07	上午(08:00-12:0	24	5	正常
SCH2026050714000007	T0001	2026-05-07	下午(14:00-18:0	14	8	正常
SCH2026050808000007	T0001	2026-05-08	上午(08:00-12:0	24	7	正常
SCH2026050814000007	T0001	2026-05-08	下午(14:00-18:0	20	6	正常
SCH2026050908000007	T0001	2026-05-09	上午(08:00-12:0	16	5	正常
SCH2026050914000007	T0001	2026-05-09	下午(14:00-18:0	25	7	正常
SCH2026051008000007	T0001	2026-05-10	上午(08:00-12:0	13	10	正常
SCH2026051014000007	T0001	2026-05-10	下午(14:00-18:0	14	10	正常
SCH2026051108000007	T0001	2026-05-11	上午(08:00-12:0	23	8	正常
SCH2026051114000007	T0001	2026-05-11	下午(14:00-18:0	24	9	正常
SCH2026050508000007	T0002	2026-05-05	上午(08:00-12:0	11	5	正常
SCH2026050514000007	T0002	2026-05-05	下午(14:00-18:0	15	5	正常
SCH2026050608000007	T0002	2026-05-06	上午(08:00-12:0	16	8	正常
SCH2026050614000007	T0002	2026-05-06	下午(14:00-18:0	20	8	正常
SCH2026050708000007	T0002	2026-05-07	上午(08:00-12:0	16	8	正常
SCH2026050714000007	T0002	2026-05-07	下午(14:00-18:0	16	8	正常
SCH2026050808000007	T0002	2026-05-08	上午(08:00-12:0	19	7	正常
SCH2026050814000007	T0002	2026-05-08	下午(14:00-18:0	24	7	正常
SCH2026050908000007	T0002	2026-05-09	上午(08:00-12:0	19	10	正常
SCH2026050914000007	T0002	2026-05-09	下午(14:00-18:0	20	6	正常
SCH2026051008000007	T0002	2026-05-10	上午(08:00-12:0	19	5	正常
SCH2026051014000007	T0002	2026-05-10	下午(14:00-18:0	18	10	停诊
SCH2026051108000007	T0002	2026-05-11	上午(08:00-12:0	12	9	正常
SCH2026051114000007	T0002	2026-05-11	下午(14:00-18:0	21	5	正常
SCH2026050508000007	T0003	2026-05-05	上午(08:00-12:0	13	10	正常
SCH2026050514000007	T0003	2026-05-05	下午(14:00-18:0	20	6	正常
SCH2026050608000007	T0003	2026-05-06	上午(08:00-12:0	10	5	正常
SCH2026050614000007	T0003	2026-05-06	下午(14:00-18:0	22	5	正常
SCH2026050708000007	T0003	2026-05-07	上午(08:00-12:0	20	7	正常
SCH2026050714000007	T0003	2026-05-07	下午(14:00-18:0	15	10	正常
SCH2026050808000007	T0003	2026-05-08	上午(08:00-12:0	21	5	正常
SCH2026050814000007	T0003	2026-05-08	下午(14:00-18:0	23	8	正常
SCH2026050908000007	T0003	2026-05-09	上午(08:00-12:0	15	6	正常
SCH2026050914000007	T0003	2026-05-09	下午(14:00-18:0	22	6	正常
SCH2026051008000007	T0003	2026-05-10	上午(08:00-12:0	16	5	停诊
SCH2026051014000007	T0003	2026-05-10	下午(14:00-18:0	14	7	正常
SCH2026051108000007	T0003	2026-05-11	上午(08:00-12:0	16	6	正常
SCH2026051114000007	T0003	2026-05-11	下午(14:00-18:0	19	6	正常
SCH2026050508000007	T0004	2026-05-05	上午(08:00-12:0	11	6	正常
SCH2026050514000007	T0004	2026-05-05	下午(14:00-18:0	21	7	正常
SCH2026050608000007	T0004	2026-05-06	上午(08:00-12:0	19	10	正常
SCH2026050614000007	T0004	2026-05-06	下午(14:00-18:0	19	5	正常
SCH2026050708000007	T0004	2026-05-07	上午(08:00-12:0	13	5	正常
SCH2026050714000007	T0004	2026-05-07	下午(14:00-18:0	15	6	正常
SCH2026050808000007	T0004	2026-05-08	上午(08:00-12:0	20	8	正常
SCH2026050814000007	T0004	2026-05-08	下午(14:00-18:0	22	6	正常
SCH2026050908000007	T0004	2026-05-09	上午(08:00-12:0	19	6	正常
SCH2026050914000007	T0004	2026-05-09	下午(14:00-18:0	20	7	正常
SCH2026051008000007	T0004	2026-05-10	上午(08:00-12:0	10	7	正常
SCH2026051014000007	T0004	2026-05-10	下午(14:00-18:0	19	9	正常
SCH2026051108000007	T0004	2026-05-11	上午(08:00-12:0	25	9	正常
SCH2026051114000007	T0004	2026-05-11	下午(14:00-18:0	20	7	正常
SCH2026050508000008	T0005	2026-05-05	上午(08:00-12:0	11	9	正常
SCH2026050514000008	T0005	2026-05-05	下午(14:00-18:0	18	6	正常
SCH2026050608000008	T0005	2026-05-06	上午(08:00-12:0	17	9	正常
SCH2026050614000008	T0005	2026-05-06	下午(14:00-18:0	10	6	正常
SCH2026050708000008	T0005	2026-05-07	上午(08:00-12:0	24	8	正常
SCH2026050714000008	T0005	2026-05-07	下午(14:00-18:0	21	9	正常
SCH2026050808000008	T0005	2026-05-08	上午(08:00-12:0	25	5	停诊
